event_id,ticker,dataset_split,biotech_catalyst_event_type,event_time_original,original_reaction_window_start,sec_acceptance_time,press_release_time,source_publication_time,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,reaction_window_start,timestamp_confidence,timestamp_notes,original_reaction_window_before_first_tradable,timestamp_ambiguous,model_eligible,model_exclusion_reason,source_doc_count,source_types,source_url_count,source_hash_count
KYMR_8-K_2023-11-02_0001193125-23-268944,KYMR,original,safety_signal,2023-11-02 13:15:29,2023-11-02,2023-11-02T13:15:29+00:00,2023-11-02T13:15:29+00:00,2023-11-02T13:15:29+00:00,2023-11-02T13:15:29+00:00,sec_acceptance_time,before_open,2023-11-02T09:30:00-04:00,2023-11-02,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
SGMO_8-K_2023-11-03_0001628280-23-036697,SGMO,fresh,safety_signal,2023-11-03 20:02:28,2023-11-03,2023-11-03T20:02:28+00:00,,2023-11-03T20:02:28+00:00,2023-11-03T20:02:28+00:00,sec_acceptance_time,after_close,2023-11-06T09:30:00-05:00,2023-11-06,high,original_reaction_window_started_before_first_tradable,True,False,True,,1,sec_primary_filing,1,1
ROIV_8-K_2023-11-27_0001140361-23-054630,ROIV,fresh,phase_3_readout,2023-11-27 13:06:05,2023-11-27,2023-11-27T13:06:05+00:00,2023-11-27T13:06:05+00:00,2023-11-27T13:06:05+00:00,2023-11-27T13:06:05+00:00,sec_acceptance_time,before_open,2023-11-27T09:30:00-05:00,2023-11-27,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
REPL_8-K_2023-12-05_0001104659-23-123459,REPL,fresh,endpoint_failure,2023-12-05 12:19:32,2023-12-05,2023-12-05T12:19:32+00:00,2023-12-05T12:19:32+00:00,2023-12-05T12:19:32+00:00,2023-12-05T12:19:32+00:00,sec_acceptance_time,before_open,2023-12-05T09:30:00-05:00,2023-12-05,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
MIRM_8-K_2023-12-18_0001193125-23-297614,MIRM,fresh,phase_3_readout,2023-12-18 21:06:55,2023-12-18,2023-12-18T21:06:55+00:00,,2023-12-18T21:06:55+00:00,2023-12-18T21:06:55+00:00,sec_acceptance_time,after_close,2023-12-19T09:30:00-05:00,2023-12-19,high,original_reaction_window_started_before_first_tradable,True,False,True,,1,sec_primary_filing,1,1
IOVA_8-K_2023-12-27_0001104659-23-129751,IOVA,original,trial_halt,2023-12-27 22:00:36,2023-12-28,2023-12-27T22:00:36+00:00,2023-12-27T22:00:36+00:00,2023-12-27T22:00:36+00:00,2023-12-27T22:00:36+00:00,sec_acceptance_time,after_close,2023-12-28T09:30:00-05:00,2023-12-28,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
AUPH_8-K_2024-02-15_0001600620-24-000010,AUPH,original,trial_discontinuation,2024-02-15 11:06:50,2024-02-15,2024-02-15T11:06:50+00:00,2024-02-15T11:06:50+00:00,2024-02-15T11:06:50+00:00,2024-02-15T11:06:50+00:00,sec_acceptance_time,before_open,2024-02-15T09:30:00-05:00,2024-02-15,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
DNLI_8-K_2024-02-16_0001714899-24-000065,DNLI,fresh,phase_2_readout,2024-02-16 13:02:47,2024-02-16,2024-02-16T13:02:47+00:00,,2024-02-16T13:02:47+00:00,2024-02-16T13:02:47+00:00,sec_acceptance_time,before_open,2024-02-16T09:30:00-05:00,2024-02-16,high,none,False,False,True,,1,sec_primary_filing,1,1
IOVA_8-K_2024-03-04_0001104659-24-030249,IOVA,original,trial_halt,2024-03-04 13:00:20,2024-03-04,2024-03-04T13:00:20+00:00,2024-03-04T13:00:20+00:00,2024-03-04T13:00:20+00:00,2024-03-04T13:00:20+00:00,sec_acceptance_time,before_open,2024-03-04T09:30:00-05:00,2024-03-04,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
IMCR_8-K_2024-05-31_0001140361-24-028366,IMCR,fresh,safety_signal,2024-05-31 20:21:44,2024-05-31,2024-05-31T20:21:44+00:00,2024-05-31T20:21:44+00:00,2024-05-31T20:21:44+00:00,2024-05-31T20:21:44+00:00,sec_acceptance_time,after_close,2024-06-03T09:30:00-04:00,2024-06-03,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,True,False,True,,2,sec_exhibit;sec_primary_filing,2,2
