dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
combined,market_cap_bucket,small_300m_2b,3,33,negative,-0.14137882651077038,-0.0900462669534207,-0.1331908386739511,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.09480162939938935,-0.08611109856217092,0.21477841373707313
combined,market_cap_bucket,mid_2b_10b,3,18,negative,-0.041056621954376524,-0.0135229773631051,-0.04343757640615112,0.6111111111111112,0.3888888888888889,0.6111111111111112,-0.03550326344795351,-0.013431371106303491,0.07708060712500601
combined,market_cap_bucket,large_gt_10b,3,5,negative,-0.0545350115531726,-0.0426109124051877,-0.0524322283587042,0.8,0.2,0.8,-0.051303897855454375,-0.04171582597606116,0.06402581904126003
combined,market_cap_bucket,micro_lt_300m,3,5,negative,-0.4940879935735267,-0.1376250385210382,-0.48300987644265475,0.8,0.2,0.8,-0.3002222441434579,-0.12857461855622443,0.5317014720404483
combined,negative_catalyst_family,trial_halt_or_discontinuation,3,26,negative,-0.10154066540108134,-0.055362431439908,-0.08200111317856597,0.6923076923076923,0.3076923076923077,0.6923076923076923,-0.0808707760299334,-0.05385740631189179,0.13845672612194365
combined,negative_catalyst_family,major_safety_signal,3,14,negative,-0.07482760935056829,-0.0876584421099834,-0.07236250721596804,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.061876106812795026,-0.0838552273987086,0.13908696991490738
combined,negative_catalyst_family,complete_response_letter,3,11,negative,-0.22009038523701518,-0.0521697969217043,-0.23517988836999162,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.09488515309445561,-0.05083231259211218,0.34068015628054193
combined,negative_catalyst_family,endpoint_failure_or_trial_failure,3,10,negative,-0.2038997426724459,-0.09317615945877225,-0.18138616867388996,0.7,0.3,0.7,-0.1512500866041163,-0.08896231568379004,0.21592008599168638
combined,trial_phase,phase_3,3,19,negative,-0.1419203833342466,-0.1001136426604825,-0.11589908934268223,0.6842105263157895,0.3157894736842105,0.6842105263157895,-0.11232001462657387,-0.0952654042529203,0.16311721488282044
combined,trial_phase,unknown,3,12,negative,-0.16019693271895705,-0.0388063976807648,-0.14358812840650562,0.75,0.25,0.75,-0.0707158007683341,-0.03805611395481262,0.2800877688413438
combined,trial_phase,phase_1_2,3,10,negative,-0.09939294252160592,-0.0949326949508151,-0.10106690907197749,0.8,0.2,0.8,-0.08613978848751051,-0.0897342059628442,0.13644554626996178
combined,trial_phase,phase_2,3,7,negative,-0.26959039000921237,-0.0124371720865113,-0.2601041435460227,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.15863988910658317,-0.01236015010430902,0.3410386214621449
combined,trial_phase,phase_2_3,3,7,negative,-0.04733840084073243,-0.0563041703858802,-0.04776624469488015,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.043050728541253656,-0.05474842537740432,0.07866753855487
combined,trial_phase,phase_1,3,5,negative,-0.04085258912388586,-0.0752032415594843,-0.04707239957035371,0.8,0.2,0.8,-0.03264078578898788,-0.0724450505444969,0.11580100647784061
combined,trial_phase,pivotal,3,1,negative,-0.1120911129044235,-0.1120911129044235,-0.1120911129044235,1.0,0.0,1.0,-0.10603719775775788,-0.10603719775775788,0.1120911129044235
fresh,all,all,3,27,negative,-0.18993633367533405,-0.0963832669871214,-0.19703062710636438,0.7407407407407407,0.25925925925925924,0.7407407407407407,-0.11602181745563263,-0.0918841014823969,0.2544425260165483
fresh,biotech_catalyst_event_type,safety_signal,3,9,negative,-0.11156756853262312,-0.1001136426604825,-0.11137209856155345,0.8888888888888888,0.1111111111111111,0.8888888888888888,-0.0996908921947322,-0.0952654042529203,0.128719004493447
fresh,biotech_catalyst_event_type,phase_3_readout,3,7,negative,-0.20434939236557467,-0.0899690519304231,-0.17269967232533442,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.14499290094174425,-0.08604052988518318,0.22152131139306114
