dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
combined,trial_phase,phase_3,3,19,negative,-0.1396391819430246,-0.07784042624684523,-0.11339919085100407,0.631578947368421,0.3684210526315789,0.631578947368421,-0.10951408666347923,-0.07488796163420952,0.16423055403979164
combined,trial_phase,unknown,3,12,negative,-0.1601969327189571,-0.03880639768076487,-0.14358812840650562,0.75,0.25,0.75,-0.07071580076833413,-0.038056113954812676,0.28008776884134384
combined,trial_phase,phase_1_2,3,10,negative,-0.09939294252160594,-0.09493269495081513,-0.1010669090719775,0.8,0.2,0.8,-0.08613978848751055,-0.0897342059628442,0.1364455462699618
combined,trial_phase,phase_2,3,7,negative,-0.21628905712217833,-0.012437172086511322,-0.21203225006533064,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.13570500427848964,-0.01236015010430902,0.294579980701519
combined,trial_phase,phase_2_3,3,7,negative,-0.04227682627039949,-0.056304170385880294,-0.04181000165208004,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.03809275053298996,-0.05474842537740443,0.07939548369335725
combined,trial_phase,phase_1,3,5,negative,-0.04085258912388588,-0.07520324155948438,-0.04707239957035373,0.8,0.2,0.8,-0.0326407857889879,-0.0724450505444969,0.11580100647784067
combined,trial_phase,pivotal,3,1,negative,-0.11209111290442358,-0.11209111290442358,-0.11209111290442358,1.0,0.0,1.0,-0.10603719775775788,-0.10603719775775788,0.11209111290442358
fresh,all,all,3,27,negative,-0.17319991965182346,-0.07520324155948438,-0.17317076454625582,0.7407407407407407,0.25925925925925924,0.7407407407407407,-0.10681579259810305,-0.0724450505444969,0.243369880632381
fresh,biotech_catalyst_event_type,safety_signal,3,9,negative,-0.12357005474729411,-0.11209111290442358,-0.12337458477622446,0.8888888888888888,0.1111111111111111,0.8888888888888888,-0.11008960798112244,-0.10603719775775788,0.14072149070811804
fresh,biotech_catalyst_event_type,phase_3_readout,3,7,negative,-0.1776642174573479,-0.0065027145005174675,-0.14738252546808697,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.11904905530829339,-0.006481617606375778,0.20983940911017882
fresh,biotech_catalyst_event_type,fda_complete_response_letter,3,5,negative,-0.31256454482484836,-0.014608782639698963,-0.3119109537923637,0.6,0.4,0.6,-0.08748423998204688,-0.014502592108297963,0.5683712336325197
fresh,biotech_catalyst_event_type,phase_2_readout,3,2,negative,-0.05441021953681639,-0.05441021953681639,-0.05441021953681639,1.0,0.0,1.0,-0.05212212579335296,-0.05212212579335296,0.05441021953681639
fresh,biotech_catalyst_event_type,trial_discontinuation,3,2,negative,-0.13361326499610254,-0.13361326499610254,-0.13361326499610254,1.0,0.0,1.0,-0.12506494882206354,-0.12506494882206354,0.13361326499610254
fresh,biotech_catalyst_event_type,endpoint_failure,3,1,negative,-0.4997312410918033,-0.4997312410918033,-0.4997312410918033,1.0,0.0,1.0,-0.3933063078622474,-0.3933063078622474,0.4997312410918033
fresh,biotech_catalyst_event_type,trial_halt,3,1,negative,0.11798311860973254,0.11798311860973254,0.11798311860973254,0.0,1.0,0.0,0.12522511584268803,0.12522511584268803,0.11798311860973254
fresh,market_cap_bucket,small_300m_2b,3,12,negative,-0.21639034886303085,-0.1208973985706588,-0.23236143380737262,0.8333333333333334,0.16666666666666666,0.8333333333333334,-0.128418692329869,-0.1138407673829876,0.3279527831105
fresh,market_cap_bucket,mid_2b_10b,3,11,negative,-0.04536543720565234,-0.012437172086511322,-0.04314982299442122,0.6363636363636364,0.36363636363636365,0.6363636363636364,-0.039713252707764664,-0.01236015010430902,0.07444484614073943
fresh,market_cap_bucket,micro_lt_300m,3,4,negative,-0.39517345874517174,-0.14987966430695943,-0.35837938957943993,0.75,0.25,0.75,-0.2265390781012358,-0.1391227235422906,0.45416501805003806
fresh,negative_catalyst_family,endpoint_failure_or_trial_failure,3,10,negative,-0.18522012023668716,-0.040367903252478465,-0.16343818588878845,0.7,0.3,0.7,-0.13308939466070072,-0.03918931860229796,0.20774275439366888
fresh,negative_catalyst_family,major_safety_signal,3,9,negative,-0.12357005474729411,-0.11209111290442358,-0.12337458477622446,0.8888888888888888,0.1111111111111111,0.8888888888888888,-0.11008960798112244,-0.10603719775775788,0.14072149070811804
fresh,negative_catalyst_family,complete_response_letter,3,5,negative,-0.31256454482484836,-0.014608782639698963,-0.3119109537923637,0.6,0.4,0.6,-0.08748423998204688,-0.014502592108297963,0.5683712336325197
fresh,negative_catalyst_family,trial_halt_or_discontinuation,3,3,negative,-0.04974780379415752,-0.12970368423689402,-0.057743391838431156,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.04163492726714635,-0.12164433700821731,0.12840321620064588
fresh,trial_phase,phase_3,3,8,negative,-0.24271525338827418,-0.17288052855677968,-0.2111084343400923,0.75,0.25,0.75,-0.1839751899789881,-0.15871423244332822,0.25768508629534015
fresh,trial_phase,phase_2_3,3,5,negative,-0.014917946435100993,-0.0065027145005174675,-0.013439649349045573,0.6,0.4,0.6,-0.011951465310627695,-0.006481617606375778,0.06688406682724184
fresh,trial_phase,unknown,3,5,negative,-0.2547481853377649,-0.014608782639698963,-0.24253132240786351,0.6,0.4,0.6,-0.057022263834771714,-0.014502592108297963,0.5105548741454362
fresh,trial_phase,phase_2,3,4,negative,-0.19491258974778017,-0.05441021953681639,-0.17383723421613562,0.75,0.25,0.75,-0.1311588310856603,-0.05212212579335296,0.2539041490526464
fresh,trial_phase,phase_1_2,3,3,negative,-0.13980014372456032,-0.04379005569549228,-0.13019913492165353,1.0,0.0,1.0,-0.12141288731499493,-0.042845114402786155,0.13980014372456032
fresh,trial_phase,phase_1,3,1,negative,-0.07520324155948438,-0.07520324155948438,-0.07520324155948438,1.0,0.0,1.0,-0.0724450505444969,-0.0724450505444969,0.07520324155948438
fresh,trial_phase,pivotal,3,1,negative,-0.11209111290442358,-0.11209111290442358,-0.11209111290442358,1.0,0.0,1.0,-0.10603719775775788,-0.10603719775775788,0.11209111290442358
original,all,all,3,34,negative,-0.08880454371863758,-0.05332595407566779,-0.07488087204126335,0.6764705882352942,0.3235294117647059,0.6764705882352942,-0.07036923973339683,-0.05192849736379873,0.1348184363098606
original,biotech_catalyst_event_type,trial_halt,3,14,negative,-0.10362715960579365,-0.043616549306870867,-0.07635299382310874,0.6428571428571429,0.35714285714285715,0.6428571428571429,-0.07805020047631588,-0.042643504707391144,0.12902322290729215
original,biotech_catalyst_event_type,trial_discontinuation,3,9,negative,-0.11289824801356693,-0.0900462669534207,-0.11443182268686283,0.7777777777777778,0.2222222222222222,0.7777777777777778,-0.09537824847328455,-0.08611109856217092,0.15914328136765965
original,biotech_catalyst_event_type,fda_complete_response_letter,3,6,negative,-0.0848352676193526,-0.06939866856444216,-0.08662603786135248,0.8333333333333334,0.16666666666666666,0.8333333333333334,-0.07873327373016142,-0.06690686400316648,0.09274427385942546
original,biotech_catalyst_event_type,safety_signal,3,5,negative,-0.008695682822869555,0.030953743303093764,-0.00579331368924485,0.4,0.6,0.4,0.0061905068746919145,0.03143779187771467,0.15774930767353607
original,market_cap_bucket,small_300m_2b,3,21,negative,-0.075093061411675,-0.07784042624684523,-0.07600359176559054,0.6190476190476191,0.38095238095238093,0.6190476190476191,-0.06253924076225006,-0.07488796163420952,0.13170757787889645
original,market_cap_bucket,mid_2b_10b,3,7,negative,-0.03990242632007875,-0.03500188295634198,-0.03639897413186728,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.03331411164214591,-0.03439640193356408,0.08677577844143526
original,market_cap_bucket,large_gt_10b,3,5,negative,-0.05453501155317264,-0.04261091240518775,-0.052432228358704244,0.8,0.2,0.8,-0.05130389785545442,-0.04171582597606127,0.06402581904126009
original,market_cap_bucket,micro_lt_300m,3,1,negative,-0.8904081547820875,-0.8904081547820875,-0.8904081547820875,1.0,0.0,1.0,-0.5895118241559475,-0.5895118241559475,0.8904081547820875
original,negative_catalyst_family,trial_halt_or_discontinuation,3,23,negative,-0.10725497680883539,-0.05442069249393584,-0.08513015939352975,0.6956521739130435,0.30434782608695654,0.6956521739130435,-0.08483074099686884,-0.052966387246379254,0.14080933273960985
original,negative_catalyst_family,complete_response_letter,3,6,negative,-0.0848352676193526,-0.06939866856444216,-0.08662603786135248,0.8333333333333334,0.16666666666666666,0.8333333333333334,-0.07873327373016142,-0.06690686400316648,0.09274427385942546
original,negative_catalyst_family,major_safety_signal,3,5,negative,-0.008695682822869555,0.030953743303093764,-0.00579331368924485,0.4,0.6,0.4,0.0061905068746919145,0.03143779187771467,0.15774930767353607
original,trial_phase,phase_3,3,11,negative,-0.06467476634647945,-0.03244311236360255,-0.06325491262058515,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.05536055697947279,-0.031922480093155015,0.09626362149030188
original,trial_phase,phase_1_2,3,7,negative,-0.08207557057748265,-0.1376955929799259,-0.08283562211385863,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.07102274613287439,-0.12863609933357623,0.13500786164656245
original,trial_phase,unknown,3,7,negative,-0.09266032370552292,-0.04261091240518775,-0.0887003482631219,0.8571428571428571,0.14285714285714285,0.8571428571428571,-0.08049689857802154,-0.04171582597606127,0.11546840790984929
original,trial_phase,phase_1,3,4,negative,-0.03226492601498626,-0.07113874130541023,-0.03809599830854987,0.75,0.25,0.75,-0.022689719600110653,-0.06850085302169456,0.12595044770742975
original,trial_phase,phase_2,3,3,negative,-0.2447910136213759,0.03578237704647284,-0.21673367455459103,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.14176656853559544,0.03643027092991935,0.3488144229000157
original,trial_phase,phase_2_3,3,2,negative,-0.11067402585864575,-0.11067402585864575,-0.11067402585864576,1.0,0.0,1.0,-0.10344596358889563,-0.10344596358889563,0.11067402585864575
combined,all,all,10,60,negative,-0.12117783953022382,-0.08710766371358153,-0.12729250521754515,0.7,0.3,0.7,-0.08254558885069484,-0.08341436117611922,0.19949137784107462
combined,biotech_catalyst_event_type,trial_halt,10,15,negative,-0.11159778214674818,-0.0817400562933189,-0.0954622367254716,0.7333333333333333,0.26666666666666666,0.7333333333333333,-0.07695140877258726,-0.07848853132763967,0.2067779090997288
combined,biotech_catalyst_event_type,safety_signal,10,14,negative,-0.10753834248103593,-0.15282556322545837,-0.1233577553720157,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.08564441008538759,-0.14163862384780068,0.17513466411366022
combined,biotech_catalyst_event_type,fda_complete_response_letter,10,11,negative,-0.11988492252710037,-0.0284056718856725,-0.14714287415053134,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.04367020248576036,-0.02800602381911732,0.26554215821853716
