event_id,ticker,recipient_name,contract_number,award_date,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_SAIC_FA489023F0014,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,FA489023F0014,2023-02-28,2023-02-28T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA489023F0014_9700_GS00Q14OADU130_4732,37981017.48,37981017.48,0.0068005591734575,0.0068005591734575,mid_cap,False,14.68005591734575,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_47QFCA25F0019,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,47QFCA25F0019,2025-07-05,2025-07-05T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA25F0019_4732_47QFCA22D0387_4732,37085741.0,37085741.0,0.0067672728989401,0.0067672728989401,mid_cap,False,14.67672728989401,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_N6523623F3001,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,N6523623F3001,2022-10-27,2022-10-27T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6523623F3001_9700_N0017819D8470_9700,36840736.4,36840736.4,0.0067389333097145,0.0067389333097145,mid_cap,False,14.673893330971449,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_N0042121F3006,BAH,BOOZ ALLEN HAMILTON INC,N0042121F3006,2021-09-27,2021-09-27T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0042121F3006_9700_N0017819D7264_9700,66026181.33,66026181.33,0.0066819180174023,0.0066819180174023,mid_cap,False,14.66819180174023,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_693JJ323F00306N,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORP,693JJ323F00306N,2023-09-01,2023-09-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_693JJ323F00306N_6925_693JK420D500002_6901,41042575.42,41042575.42,0.0066559906820215,0.0066559906820215,mid_cap,False,14.66559906820215,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_M6785422F7600,CACI,"CACI, INC. - FEDERAL",M6785422F7600,2022-01-01,2022-01-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_M6785422F7600_9700_M6785419D7614_9700,41491796.73,41491796.73,0.0066071007698233,0.0066071007698233,mid_cap,False,14.66071007698233,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_M6785425F7600,CACI,"CACI, INC. - FEDERAL",M6785425F7600,2025-01-01,2025-01-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_M6785425F7600_9700_M6785419D7614_9700,59707205.77,59707205.77,0.0065943927562024,0.0065943927562024,mid_cap,False,14.65943927562024,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_FA873023F0009,CACI,CACI INTERNATIONAL INC,FA873023F0009,2022-12-16,2022-12-16T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA873023F0009_9700_FA873020D0015_9700,45888886.56,45888886.56,0.0064672267714248,0.0064672267714248,mid_cap,False,14.646722677142481,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_N6133122F3006,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,N6133122F3006,2022-11-01,2022-11-01T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6133122F3006_9700_N0017819D8470_9700,36020457.3,36020457.3,0.0063069569393744,0.0063069569393744,mid_cap,False,14.63069569393744,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_W909MY23F0055,CACI,"CACI TECHNOLOGIES, LLC",W909MY23F0055,2023-06-22,2023-06-22T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W909MY23F0055_9700_W15P7T19D0157_9700,47325208.62,47325208.62,0.0062383172333934,0.0062383172333934,mid_cap,False,14.62383172333934,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_47QFCA24F0005,CACI,"CACI, INC. - FEDERAL",47QFCA24F0005,2024-01-12,2024-01-12T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA24F0005_4732_47QTCK18D0009_4732,46099662.0,46099662.0,0.006224358292995,0.006224358292995,mid_cap,False,14.6224358292995,high_materiality_or_priority_ticker,needs_public_announcement_link
