event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes,announcement_source_type_normalized,public_announcement_time,public_announcement_release_session,public_awareness_event_key,duplicate_group_id,duplicate_status,valid_public_announcement_link_flag,model_eligible_public_announcement_flag,validation_status,validation_notes,event_time,source_type,source_url,award_amount,obligated_amount,award_amount_pct_market_cap,obligated_amount_pct_market_cap,company_size_bucket,small_cap_flag,public_announcement_priority_score,public_announcement_priority_reason,public_announcement_link_status
government_contract_CACI_FA807522F0030,CACI,"CACI, INC. - FEDERAL",,FA807522F0030,2022-05-04,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-05-04T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA807522F0030_9700_FA807518D0006_9700,468333874.38,468333874.38,0.0733398843201055,0.0733398843201055,mid_cap,False,21.33398843201055,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_47QFCA23F0017,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,47QFCA23F0017,2023-03-02,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-03-02T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA23F0017_4732_47QTCK18D0001_4732,388673246.26,388673246.26,0.068449994829136,0.068449994829136,mid_cap,False,20.8449994829136,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_36C10B21N10150057,BAH,BOOZ ALLEN HAMILTON INC,,36C10B21N10150057,2021-09-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-09-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_36C10B21N10150057_3600_VA11816D1015_3600,663401920.57,663401920.57,0.0672384870332245,0.0672384870332245,mid_cap,False,20.72384870332245,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_CACI_47QFCA21F0057,CACI,"CACI NSS, LLC",,47QFCA21F0057,2021-06-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-06-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFCA21F0057_4732_GS00Q14OADU121_4732,399565757.08,399565757.08,0.0665027285413079,0.0665027285413079,mid_cap,False,20.65027285413079,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_KTOS_N0042123C0010,KTOS,"KRATOS UNMANNED AERIAL SYSTEMS, INC",,N0042123C0010,2022-12-30,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-12-30T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0042123C0010_9700_-NONE-_-NONE-,83517930.39,83517930.39,0.0642506870343331,0.0642506870343331,small_cap,True,20.42506870343331,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_SAIC_FA873022F0071,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,FA873022F0071,2022-03-24,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2022-03-24T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA873022F0071_9700_47QTCK18D0001_4732,301099312.74,301099312.74,0.0616964980506289,0.0616964980506289,mid_cap,False,20.16964980506289,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_HII_N0002424C2467,HII,HUNTINGTON INGALLS INCORPORATED,,N0002424C2467,2023-11-17,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-11-17T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002424C2467_9700_-NONE-_-NONE-,806951059.0,806951059.0,0.0904590488753541,0.0904590488753541,mid_cap,False,20.045904887535407,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_BAH_36C10B21N10150056,BAH,BOOZ ALLEN HAMILTON INC,,36C10B21N10150056,2021-01-08,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2021-01-08T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_36C10B21N10150056_3600_VA11816D1015_3600,1139008033.13,1139008033.13,0.0993379534821548,0.0993379534821548,large_cap,False,19.93379534821548,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_LUNR_FA945323CX010,LUNR,"INTUITIVE MACHINES, LLC",,FA945323CX010,2023-09-29,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2023-09-29T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA945323CX010_9700_-NONE-_-NONE-,17735214.0,17735214.0,0.0577262089444513,0.0577262089444513,small_cap,True,19.77262089444513,high_materiality_or_priority_ticker,needs_public_announcement_link
government_contract_RDW_FA945324CX039,RDW,"LOADPATH, LLC",,FA945324CX039,2024-09-24,,,,,,,,,,,,,,,False,False,usaspending_only_negative_control,USAspending-only record cannot establish market-public event_time.,2024-09-24T12:00:00,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA945324CX039_9700_-NONE-_-NONE-,15367849.73,15367849.73,0.0575933027226146,0.0575933027226146,small_cap,True,19.759330272261458,high_materiality_or_priority_ticker,needs_public_announcement_link
