recipient_name,source_rows,mapped_ticker,public_company_name,subsidiary_name,mapping_type,confidence,model_eligible_mapping_flag,source_types,sample_source_url,review_notes
"GICHNER SYSTEMS GROUP, INC.",5,KTOS,"Kratos Defense & Security Solutions, Inc.","Gichner Systems Group, Inc.",known_subsidiary,0.86,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0171_9700_N6833521D0214_9700,
"KRATOS SRE, INC.",5,KTOS,"Kratos Defense & Security Solutions, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80MSFC21F0062_8000_80MSFC20D0003_8000,
"L3HARRIS FUZING AND ORDNANCE SYSTEMS, INC.",5,LHX,"L3Harris Technologies, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W15QKN23F0396_9700_W15QKN23D0019_9700,
"MOSAIC ATM, INC.",5,SAIC,Science Applications International Corporation,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80NSSC21C0467_8000_-NONE-_-NONE-,
NATIONAL STEEL AND SHIPBUILDING COMPANY,5,GD,General Dynamics Corporation,General Dynamics NASSCO,known_subsidiary,0.88,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C4478_9700_-NONE-_-NONE-,
SCIENCE APPLICATIONS INTERNATIONAL CORP,5,SAIC,Science Applications International Corporation,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA460021F0003_9700_FA460020D0002_9700,
BATH IRON WORKS CORPORATION,4,GD,General Dynamics Corporation,Bath Iron Works,known_subsidiary,0.9,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-,
"CACI ENTERPRISE SOLUTIONS, LLC",4,CACI,CACI International Inc,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_SP470922F0028_9700_SP470917D0009_9700,
"ARCTURUS UAV, INC",3,AVAV,"AeroVironment, Inc.","Arcturus UAV, Inc.",known_subsidiary,0.88,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,
PLANET LABS PBC,3,PL,Planet Labs PBC,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80HQTR23F0071_8000_80HQTR18A0026_8000,
